,댓글 작성자,댓글,좋아요 개수,하트 유/무
121,이서연,"우리나라와 일본이 독도를 두고 싸우는건 맞지만 솔직히 말하면 일본 쪽에서 자기네 땅이라고 우기는거고 우리는 계속 논리적으로 반박할 뿐, 그 이상도 이하도 아닌 듯 일본 우익들이 들을려고도 안하고 빼액하니까 끝나지 않는거지. 일단 일본 정부부터 그러는데 국민들에게는 뭘 바라지도 못하겠다.",185,없음
122,카고 cago,뭉쳐야 강한 힘보단 혼자여도 말할 수 있는게 진정한 강한 힘이고 내가 저자리에 있으면 이미 싸움 터졌을거 같다,14,없음
123,머저리보면 짖는 개,4:00 아닠ㅋㅋㅋㅋ 안 밀리니깐 끄응하면서 다시 가는거 겁나 웃김 ㅋㅋㅋㅋ,10,없음
124,Meena Meena,뱤캬-라퓰-뱅 은 워낙 유명해서 앞전부터 핫했는데 ;; 지금 선착 10자리만 받아준더던데 ?,508,없음
125,noodle,이걸 생방으로 풀로봤으면 얼마나 좋았을까,8,없음
126,별💫,일본사람들 뺨때리며 🐶소뤼하지말라고 소리치고시펑ㅠㅠㅜ,0,없음
127,DANA,한국: 너네들은 독도갈때 여권가지고 가야하지? 일본: ㅇㅇ 한국: 우리는 여권없어도 갈수있음 일본:ㅂㄷㅂㄷ(다맞는 말이여서),1.4천,없음
128,ᄋᄋ,아는게 힘입니다. 무작정 당연히 독도는 우리 영토다 에서 그치는 것이 아니라 우리나라 영토임을 주장하는 자료는 기본적으로 숙지해야하며 그 주장에 대한 일본의 반론 역시 파악해야 합니다. 깊게 들어가면 그리 간단한 분쟁이 아닙니다.,1,없음
129,우승화,방송 관계자분들 수고하셨습니다ㅜㅜ,0,없음
130,크크루삥뽕,가래가래 거리는거진짜로 개웃기네 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,없음
131,화산귀환 청명 사랑 덕질,일본경찰 님은 독도가 한국땅 인걸 알고  사죄 하는게 정말 존경스럽다,6,없음
132,박제TV,화내던 사람들한테도 물어봐야하는데 독도가 어딨냐고ㅋㅋㅋㅋ,1,없음
133,김,초딩때 담임쌤이 영국에서 공부하실때 영국에서 역사 공부 할때 독도는 한국땅이라고 영국에서도 그렇게 배웠댔음 근데 반에 일본인이 있었는데 독도는 지네땅이래서 영국선생님이 아니 독도는 한국 땅이고 너네가 잘못 배운거라고 했댔음,1.1천,없음
134,오라오라오라무다무다무다,김구라가 침착하게 대처를 잘했네요 화가나도 참는게 좋은 대처를 한것같네요,0,없음
135,배성훈,"시민의식도, 예의도, 다른 나라 사람들에 대한 예우도 일본의 현실을 말해주네요",1,없음
136,[한쿡인 Mr. Oscar7],독도가 일본땅이라고 우기면 우린 일본땅이 우리땅이다,0,없음
137,merten kim,독도에도 해병대 나 특전사 같은  특수 부대가 주둔을 해서 더욱 강력하게 독도를 ,35,없음
138,다다 도도TY,아 진짜  어이 없네! 억울해 일본이 더 엉털인데! 기가 막혀서 참!,0,없음
139,펭가이드,아니 독도를 떠나서 인간대 인간으로 저따구로 대하는건 거의 1개월된 신생아가 예절가르친급인데?,661,없음
140,물개,김구라님 어이없다는 표정ㅋㅋ귀여우시다,0,없음
141,달사진,우리가 일본인을 싫어하는이유 근데 몇몇사람들때문에 마음이 아픔 한국이 좋아서 한국어를 배우고 역사를 배우는 몇몇사람들때문에 마음이 복잡해짐,354,없음
142,ᄋᄋ,0:57 이 분은 에도시대 때의 역사부터 라고 말씀하셨는데 우리나라는 신라 장군 이사부가 발견한 이래 신라의 땅으로 편입한다는 내용이 삼국사기에 있는데 ㅠㅠ큐큨ㅋㅋㅋㄹㅋ,214,없음
143,Irin,“진심으로 복싱을 배우고 싶었던날”,540,없음
144,잠자는숙소의 공주,다 소용없음~  곧  독도두  일본영토라구  주장하고 나설판인데~ 나라의 참담한  현실이  답답하다~,0,없음
145,성우 이,3:10 김구라가 더 크니까 눈 못 마주치고 그냥 나가라고 하는거 개웃기네 개그맨이야?,258,없음
146,J A A T F F,나라에서는 해주는것도 없고 자영업자인데 해당도 안되는와중에 뱤@캬라@퓰@뱅 알고나서 아빠노릇합니다..ㅋ,267,없음
147,슈가보이,와 독도가 어디있는지도 모르고 자기네 땅이라고 우기는게 진짜 충격이었다.. 자기집 주소도 모르는 주인이 어디있음??,767,없음
148,흠냐뤼,3:57 꿈쩍도 안함! 개웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,69,없음
149,이름 추천 받아요!,너무 속시원해요!  감사합니다!,10,없음
150,이승헌,와아~ 일본인들 웃기다 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,없음
151,전깨비,아나 진짜 하... 김구라님  힘내세요,7,없음
152,네츠콩,일본인들  왜케  급발작함 ㅋ ㄱ ㅋ 찔리는거있어? ㅋ  한국인들은  걍 차분하게 아 한국땅이지  뭔. . 하고   넘기던데 ㅋ ㅋ,1,없음
153,kkkmmmjjj,일본인 들은 과거에 우리나라에게 한 끔직한 짓을 학교에서 가르치지도 않는다던데....그리고 옛날일본 지도에 독도는 한국땅이라고 적혀있던데...지들이 인정했으면서 인정할건 인정을 해야지 그리고 일본 1년에1cm씩 사라지고 있죠 제발 바다야 일본을 먹어줘ㅋㅋㅋㅋㅋ,206,없음
154,keith chung,"Dokdo can never be a part of Japan. In order for Japan to successfully claim Dokdo as their own, they must first prove that Ulleundo is a part their territory as well because Dokdo is the inseparable part of Ulleungdo. I personally believe that Japan's illegal occupation of Daemado is currently a much more serious concern to Korea than Dokdo purely on the reason that Dokdo is under Korea's territorial maritime jursdiction and Daemado is not. We must resolve the Daemado issue in very near future.",4,없음
155,YUNCHAN CHO,ㅋㅋㅋ 어디있는지도모르면서 자기땅이라우기는 일본의속 너무 재밌고,227,없음
156,배우수,와... 진짜 일본..... 다케시마 가 아니라 독도다.,1,없음
157,서연,3:54 심지어 밀치기까지?! 꿈쩍도 안 함! ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,335,없음
158,ㄷ,저기서 쌍욕 안 날린 게 대단한데 진짜,0,없음
159,스파게티,김구라 원래는 참교육 시키고 싶었지만 참는 모습... 존경합니다,334,없음
160,Sedi ment,"실제로 일본과 한국의 역사를 쭉~ 보면 한국이 처음으로 독도와 울릉도를 발견하여 차지했고, 가장 먼저 국기를 꽂았으며 지도를 만들때부터 한반도 옆엔 독도와 울릉도를 꼭 그렸습니다. 또한 일본 역사에서도 오래전에 독도는 한반도에 속해있고, 독도가 한반도의 것으로 인정했다고 들었습니다. 하지만 이런 역사는 일본에세 묻히고 일제강점기때부터 학교와 독도에서 독도는 일본땅이라고 가르친답니다.",2,없음
161,지은일상,일본인들 너무 예의 없는것 같다 우리나라는 일본인을 나가라고 욕하진 않는데   일본인은 한국인이 일본에 들어오는거 자체를 싥어하는것 같다,203,없음
162,하승민,"김구라 님은 저런 성격, 대응이 너무 존셩스럽습니다",0,없음
163,모랭 부계,아니 김구라님은 일본어 몰라서 욕해도 화 안내심 ㅋㅋㅋㅋ,8,없음
164,네가,구라 형 일본말만 할 줄 알았어도 바로 제압될 텐데 ㅋㅋㅋㅋ,1,없음
165,쟌아사랑해,김구라 멋지다,0,없음
166,Hyunnyi Kim,일본인 인성을 담은 영상,2,없음
167,유희건,한국 사람이 일본 갔을 때도 한국은 독도땅이라 생각하는데 일본사람은 한국에 갔다오면 독도가 일본땅이 아닌 걸 알게 됨 알고보면 이게 젤 큰 증거임,276,없음
168,정미영,근데 저렇게까지 열심히 들러붙는게  웃기네ㅋㅋㅋㅋㅋ 진짜 정성이닼ㅋㅋㅋㅋ,3,없음
169,포켓남매,그냥 어이없어서 웃음밖에 안나온닼ㅋㅋ,3,없음
170,혤잉찡,우리 한국사를 진짜 화나면 어떻게 되는지 모르나본뎈ㅋㅋㅋㅋㅋ,1,없음
171,aksen wk,보면서 교육이 얼마나 중요한지 알고갑니다,2,없음
172,밸룬,한국인이 참는게 더 대단함..,3,없음
173,자희,경찰은 그래도 상식있는분을 뽑아서 다행 나라가 불쌍하다 경찰이 대신 사과나 해야하고 경찰입장에선 지 국민들 한심해 보일듯,231,없음
174,김영희,응원합니다👏👏👏👏👏,0,없음
175,재재재재,일장기 들고 들어오는거 겁나 웃곀ㅋㅋㅋㅋ이게 코미디짘ㅋㅋㅋㅋㅋㅋ,6,없음
176,시연 김,독도는 우리나라 땅이 맞습니다 울릉도가 동해안 강릉으로쳐 바다로 나가 130.3km떨어져있습니다. 그리고 그 울릉도에서 87.4km떨어져있지만 엄연히 우리가 먼저 발견했습니다.!!!,0,없음
177,사과나무늘보,JTBC관계자분들 존경합니다. 이런말을 받으면서 일본의땅의가서 이런것을하는자체가 너무 한국에 감사 하고 저도 엄청 감동받았습니다.,3,없음
178,훈발놈,제가 이영상을 보고 든 생각이 역사를 다시알고 일본에도 착한 사람이 있다는걸 알리고 싶어요,0,없음
179,이수빈,저런 인성으로 우리나라를 짓밟았구나,714,없음
180,학생,우리 학교쌤이 차라리 방탄이 군대갈거면 독도에서 있는게 일본한테도 잘알려줄수있을거라고 생각한답니다,66,없음
181,김건호,일본인들 옆에 사람들 없으면 혼자 저런짓 못함ㅋㅋㅋㅋㅋㅋㅋ 단체주의가 심해서 혼자서는 우물쭈물하고 있음,794,없음
182,토미차림,무지함의 끝은 어디인지 보여주는 영상입니다,1,없음
183,박상엽,와.....영상 보는 내내 뒷목아프다 그리고 이거 영어로도 부탁해요! 미국인 셰계인도 보면 무서워서 머.....그럴지도?,0,없음
184,쭈니,일본인 왜 이렇게 나쁘지. 일본인 너무해 ㅠㅠㅠㅠ,0,없음
185,김지훈,구라형 옛날 실력 함 보여줘야지 인방 감성으루다가..,1,없음
186,민악대,우리가 독도를 넘겨주고 도쿄를 가져오자(?)  아닠ㅋㅋㅋ 독도에 쌀이 안나는데 먼 쌀이얔ㅋㅋㅋㅋ,1,없음
187,ng l,저 정도면 깡패집단아닌가  떳떳하지 않으니 저러지;; 손가락질이며 표현 하나하나 정말 무례하고 무식해보인다 ~ 이와중에 밀쳤는데 안밀리는거 왤케 웃기냐 (03:54)ㅋㅋㅋㅋ  심지어 독도가 어디있는지도 모르는 사람들이 독도 지네땅이라 우기는거보면 그냥 한심 그자체. 독도에 관심1도없는데 그냥 일본이 몰아가니까 그런줄 아네~화이팅 ㅎ,224,없음
188,손우진,김구라가 가있으니까 뭔가 걱정이 안됨ㅋㅋ,140,없음
189,イヴ처돌이,3:55 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ겁나 웃었네  쨉도 안되는 게ㅋㅋㅋㅋㅋㅋ한번 밀어보니 쫄은 듯ㅋㅋㅋㅋ,1,없음
190,Marlon Demafelis,여러분들 이거 하나만 외칩시다 독도는 한국 땅!!!!༼✧ɷ✧༽,4,없음
191,아이언다비드,"일본을 좋아하는사람으로서 일본을 위해 한마디 하자면, 한국은 독도를 지키기위해 많은일을하는데, 일본은 독도를 빼앗기위해 하는것이 별로없다. 그러니, 일본쪽에서 포기를하는것이 일본입장에서도 훨씬 더 이득이다. 일본이 한국을 통해서 얼마나 많은 이득을 취하는지 생각해보면, 일본이 독도를 포기하는게 옳다.",1,없음
192,[팀독슬레이브]배클,일반국민 욕하지마세요. 저사람들은 그렇게 배웠기에 저렇게 이야하는것입니다 물론 우익들도문제가 있지만 결국 그사람들도 그렇게 배워서입니다,3,없음
193,̊살뺀다,"한국은 이런다 일본인이 한국에 오든 말든 상관 안쓰는데, 일본은 한국인이 일본에 오면 왜 뭐라고 하는걸까..",202,없음
194,정다인,"Takeshima belongs to Japan and Dokdo belongs to us. Takeshima means Jukdo Island and Bamboo Island, and there is no bamboo in Dokdo Island. On the other hand, Dokdo Island has the meaning of a stone island. Just looking at the etymology of the word proves that Dokdo Island is our land.",6,없음
195,선셋,재밌어서 중독됨,14,없음
196,Fire 2000,마지막 카메라 정리하는거 왜케 웃기냨ㅋㅋㅋ🤣,0,없음
197,마쮸,내가 피아노학원에서 독도는 한국땅(우리땅)을 연습을 다 해서 잘 치고 있는뎅 그걸 노랠 부르면서 피아노를 치며 일본인들에게 보여주고싶다,1,없음
198,J.Daegeon.Hyounwoo,원래 아예 모르는 애들보다 하나만 아는 애들이 진짜 무서운 애들이라 했습니다.,1,없음
199,안물어봤다요다야,참 어이없네 일본에서는 독도를 가지고 한국과 일본이 싸우고 있다고 배운다고 ?  원래 독도는 우리 나라껀데 그걸 가지고 싸운다는게 더 이상한 상황이지,370,없음
200,선욱,처음에 밀치는 아재 개웃기네ㅋㅋㅋㅋㅋㅋ 밀었는데 안 밀리니까 당황했엌ㅋㅋㅋㅋㅋ,1,없음
201,모든 게임,여기서부터 독일과 차이가 있는거임  독일은 자신들이 잘못한것을 정말 사과하고 학교에서 역사 열심히 배우는데 일본은 걍 다름,361,없음
202,독도는 우리땅🇰🇷,ㄹㅇ 찐으로 김구라씨가 못알아들어서 다행이네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 썸네일 보고 달려왔습니닷 ㅋㅋㅋㅋㅋㅋ 독도 사랑♡,11,없음
203,YN,꼭 역사선생님이 되어야지,5,없음
204,이헤더^^,어디있는지도 모르면서 말하기는 다른나라에서 왔다고 함부로 해도 되는것 아니잖아요,0,없음
205,돌대가리쉐ㅔㅔ끼,13:49 일본인들수준 왜왔냐고해서 말하는데 닥치라하고다시 물어보는 참된인상 ㄹㅇㅋㅋ,55,없음
206,삑그리고다운,일본은 원래도 싫었는데 더 싫어졌다,2,없음
207,으음흠,설민석선생님이있어다면 역사에 역이라는 말도못꺼내는사람이 독도가 일본땅이라고 우기네 독도가 어디있는지도 몰르면서  독도는 한국땅이다!!!!!,453,없음
208,하핳,"0:56 말실수 하셨어요! ""타케시마는 원래 일본영토였고"" :X  ""독도는 원래 정말정말 대단하고 멋진 최고의 나라 대한민국 영토였고""이게 맞는말 입니다!",1,없음
209,토마토디,믿기지가않는다 21세기에 다큰어른들이 놀라워,0,없음
210,몽챠,ㅋㅋㅋ 독도가 지네들 땅이라면서 어디있는지를 몰라~대박사건! 좀 배워라배워,0,없음
211,난나,"저런 모습들이 내가 일본에 살면서 느낀 ""진짜 일본인""이다. 일본은 미화를 잘해서 뭐든 자기네껀 아름다운거 같이 잘 포장해서 이미지가 좋을뿐임.",0,없음
212,해파리,와 진짜 어이없네...,1,없음
213,믕,일본이 주장하는 내용  대한민국:1+1=2입니다  왜냐하면 수학적..,858,없음
214,착한사람,마지막 사이다네ㅋㅋ 다케시마 행사의 민낯ㅋㅋ,27,없음
215,Ramee J,이 영상보고 저혈압이 완치 되었어요👍🏼,9,없음
216,LIFE,아 진짜 볼 때마다 화나네 아니 역사적으로나 보나 뭐로보나 독도는 한국땅이라고 말하고 있는데 왜 인정을 안 하는지 이해가 안 가네  심지어 기록으로도 남아있는데 논리적이지도 않고 무작정 소리지르면서 가라고 하는 거 진짜 비상식적이다,0,없음
217,이은성,역시 그들의 인성👍👍,0,없음
218,기홍 권,아이고 힘드시겠어요,1,없음
219,뭐여,이 방송만큼 김구라의 삿대질과 뭐 씹은 표정이 편안한 적은 없었다,425,없음
220,찬이,정말로 교육이 중요한거구나..,3,없음
221,사나나,어디있는지도 모르면서 무조건 일본땅.. 무지하다 정말... 그 무지함이 칼날이 되어 돌아갈거다,491,없음
222,김귀정,김구라가 안때린게 레전드,0,없음
223,살고싶다,언제가는 한번 끝장을 보겠죠.  항상 마음에 간직하고 사시길 바랍니다.,1,없음
224,JU YEONG AHN,독도는 우리 땅 인데  일본이 자기네 땅이라고 우기는거  완전 어이없음.,0,없음
225,Bodybuilder dream,저게 일본의 현재 모습이다 ;; (절레절레) 대단하네요 대단해,0,없음
226,Aloysius Leitao,경기가 힘들어지니까 재테크좀 해볼까하고 알아보는데 딱 뱤!캬!라`퓰`뱅 추천받아서 쳐보니까 어우..,405,없음
227,빅터의 마술&리뷰,다 큰 어른들이 뭐하는 짓이냐ㅋㅋ 나이를 먹었으면 먹은 만큼 행동해야지. 전 욱하는 성격이 있어서 저런거 절대 못참거든요. 저기에 저 있었으면 나 일본 경찰서 갔을 수도 있겠군요.,256,없음
228,컴전용게정,3:50  한국인 : 단단해지기!,67,없음
229,Kevin Hwang,진짜 빈수레가 요란하다는게 딱 여기서 쓰는 속담이네,73,없음
230,루크tv,0:45 어디서 왔는지 말하고 있는데 닥치고 어디서왔는지 물으는거 무엇;; 아 원레 일본 양심이 이러니까 참아야지 ㅋㅋㅋ 우리가 일본 보다 커지면 바로 전쟁하고싶다. 그리고 독도가 어딨는디 몰르면서 자기땅이라고하는양심무엇 일본은 없어져야해 인정 하는사람  👇,3,없음
231,덧니,진짜 몇몇분 말대로 김동현 강호동 서장훈 추성훈해서 다시한번 가죠 일본,71,없음
232,요새허리가아프다,죽도록 맞아야 정신차리지 죽어버려도 상관없어,0,없음
233,Dkqprhvk,도망가는 이유:독도가 한국땅 이라는 증거가 나오자 반박할수가없어서   +일본인들은 대한민국오면  한국말합니까?? 한국인들이 일본인들을 만나면 다짜고짜 독도는 한국땅이라고합니까? 왜 그러는겁니까일본인분들.....,144,없음
234,Re,"어쩔수없음. 일본인은 섬나라 사람들이고, 자국의식이 강함. 이 두가지가 합쳐져서, (영토에 대한 정복의식 + 국익을 최우선) 엄청난 혼종을 낳게되는것.",0,없음
235,G.Master_Kim Ethiopia taekwondo,이런 영상은 영어 버전으로 전세계에 퍼뜨려야 합니다.,0,없음
236,둠상필,진짜 저기서 막 손가락질하고 대들면 한판 붙고싶다는 생각만드네,0,없음
237,검은프로필,극우들 너무 웃겨서 뻘하게 웃고 갑니다 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,없음
238,창현 이,한국을 무시하지말자,0,없음
239,손지호,만약 진짜 타당한 이유가 있었으면 당당하게 인터뷰를 했겠지  할말이 없으니까 욕하고 큰소리만 치고인터뷰를 못하지.......,654,없음
240,다랑,아놬ㅋㅋㅋ 독도에서 나온 쌀? 일본분들 독도에서 쌀 농사하시나봐요? 독도에서 쌀농사를 하다니 얼마나 기술이 발전하셨으면..^^ 대단하세네여^^,4,없음
241,하이,이런 유익한 동영상은 제목에 한국어 말고 영어도 같이 붙여서 넣어주시먼 센스 굿 일텐데 일본의 만행 모든 나라 사람들에게 보여줘야지 부끄러운줄 알죠!!,343,없음
242,보리,12:37 발음 왤케 정확함?ㅋㅋㅋ,286,없음
243,윤광석,군사력만 강하면 그냥 해결 물론 외교홍보도 해야되지만,0,없음
244,박상규,"3:33 어우 깜짝이야! 얼굴 땜에 깜짝 놀랐어욬ㅋㅋㅋㅋㅋ 그러면서 독도 아니야 이러고 있는 일본의 세뇌식 교육이 에휴,,,,,😤",0,없음
245,허성률,ㅋㅋㅋㅋㅋㅋ 우리집 멍뭉이도 듣고 웃는다 ㅋ,7,없음
246,목화,12:31 독도라고 왜처줘서 감사합ㄷ 다캐시마가 아니라 독도라고 인정해주셔서 감사,2,없음
247,값삯,저 사람들을 저렇게 만든 일본 교육방식부터 일본의 무논리가 문제입니다. 저 사람들은 그 무논리의 꼭두각시이구요,202,없음
248,Pathfinder,뭔가 귀여워 ㅋㅋㅋ 어른들이 생떼쓰는 애들같아.,12,없음
249,이혜진,"이 밤에 화가 나네요,,, 제대로 된 역사를 함께 나누는 문화가 필요하다고 생각합니다,,,",0,없음
250,김건우,와 일본은 진짜 나쁜 녀석이다,0,없음
251,조이지윤,"진심 블핑이나,방탄이 독도에서 뮤비같은거 찍으면 .....❤🤭",482,없음
252,music good TV,"독도는 한국 땅 인데, 일본이 독도가 일본  땅이라는 것에 화가 납니다",0,없음
253,차련,"적법하게 취재 허가 받아서 촬영 중인 방송팀을 쫓아낼 게 아니라, 계속 달라 붙으면서 소란 일으키는 우익들을 쫓아내야 하는 거 아님? 어이가 없음",320,없음
254,수,14:10 초 한번 움직였는데 다 쳐다보는거 소름임,165,없음
255,하이루,ㅋㅋ마지막 대사 사이다ㅋㅋㅋㅋㅋ,0,없음
256,Meme Land,일본: 독도는 일본땅이야 한국놈들아!! 한국: 독도가 어디있는지는 아니? 일본: 독도은 한국땅이ㄷ...,2,없음
257,준서_blink,설민석:지식으로 조진다 마동석:힘 으로 걍 조진다,361,없음
258,Eargasm,개웃기넼ㅋㅋ그렇게 자기꺼라 주장하는 독도 어딨냐니까  아노....음... ㅋㅋㅋㄱㅋㄱㄱㄱㄱㅋ,1,없음
259,유가영,한국사람이 독도가는방법: '여권없이' 차타고 배타고  일본사람이 독도가는방법: '여권을 가지고''비행기'타고 차타고 배타고,4천,없음
260,천왕성왕자,하아;; 볼때마다 참 다시금 결의를 다지게 되네요,2,없음
261,과제싫음,에휴 너무 역겨운거 아님 일본인들 ㅋㅋㅋㅋ 독도가 지네 땅이라 우기면서 어디에 위치에 있는지도 모름,211,없음
262,일이 점점 커지고 있습니다,이 영상을 보고 일본어 공부를 하고싶어졌습니다,1,없음
263,fiona cho,이 날 김구라님 정말 스트레느 장난 아니었겧네요. 고생하셨습니다,0,없음
264,맨디tv,주장하는건 괜찮은데 근거가 있긴한가,0,없음
265,이짐승 Lee Gim Suong,이 영상이 일본의 인성을 알려준다,1,없음
266,곤 삭,일본이나 한국이나 똑같음.독도가 진짜 어느나라 땅이냐를 떠나서 쟤들도 그냥 독도가 일본영토라고 교육을 받아서 아무런 의심없이 독도는 일본땅이다라고 믿는거고 한국도 독도가 한국땅이라고 교육받고 그 교육이 진짜 사실인지 왜곡인지 의심조차 안해보고 교육을 그렇게 받았으니 한국땅이라고 믿는거고.,0,없음
267,RP 2009,김수미 할머니 가셨으면 딱인데...  일본우익: 다케시마는 우리 영토야!! 김수미님: 쟤 뭐래니? ,288,없음
268,박자편집 쫌 하는사람,이거보고욕벡번씀 1.독도가 지리적으로 우리나라 영토라는 것은 조선시대는 물론 삼국시대에도 독도가 엄연한 우리나라 땅이라는 것이 나와 있습니다.,5,없음
269,소현,일본인들의 저 특유에 지식은 없는데 우기는 능력과 거짓말과 섞인 말도 안돼는 말을 하는 능력 대단하다 정말,0,없음
270,천사토순AngelRabbit,반대로 생각해보세요 한국인이 무논리로 타케시마가 한국땅이라 주장하면 일본인도 어이가 없어요,0,없음
